Time (s),Illuminance (lux),Timestamp,Condition
47.379,638.76,2026-01-12 00:36:44.254,Control_1
47.48,652.03,2026-01-12 00:36:44.355,Control_1
47.578,659.93,2026-01-12 00:36:44.453,Control_1
47.68,671.27,2026-01-12 00:36:44.555,Control_1
47.779,677.1,2026-01-12 00:36:44.654,Control_1
47.88,690.89,2026-01-12 00:36:44.755,Control_1
47.976,690.89,2026-01-12 00:36:44.851,Control_1
48.076,690.89,2026-01-12 00:36:44.951,Control_1
48.177,696.83,2026-01-12 00:36:45.052,Control_1
48.279,708.59,2026-01-12 00:36:45.154,Control_1
48.378,716.94,2026-01-12 00:36:45.253,Control_1
48.478,716.94,2026-01-12 00:36:45.353,Control_1
48.578,728.93,2026-01-12 00:36:45.453,Control_1
48.678,728.93,2026-01-12 00:36:45.553,Control_1
48.777,710.89,2026-01-12 00:36:45.652,Control_1
48.88,708.59,2026-01-12 00:36:45.755,Control_1
48.979,696.83,2026-01-12 00:36:45.854,Control_1
49.079,696.83,2026-01-12 00:36:45.954,Control_1
49.179,696.83,2026-01-12 00:36:46.054,Control_1
49.28,708.59,2026-01-12 00:36:46.155,Control_1
49.379,708.59,2026-01-12 00:36:46.254,Control_1
49.48,710.89,2026-01-12 00:36:46.355,Control_1
49.578,716.94,2026-01-12 00:36:46.453,Control_1
49.68,728.93,2026-01-12 00:36:46.555,Control_1
49.779,731.27,2026-01-12 00:36:46.654,Control_1
49.88,737.44,2026-01-12 00:36:46.755,Control_1
49.979,749.65,2026-01-12 00:36:46.854,Control_1
50.079,749.65,2026-01-12 00:36:46.954,Control_1
50.181,752.04,2026-01-12 00:36:47.056,Control_1
50.28,749.65,2026-01-12 00:36:47.155,Control_1
50.381,749.65,2026-01-12 00:36:47.256,Control_1
50.478,749.65,2026-01-12 00:36:47.353,Control_1
50.58,749.65,2026-01-12 00:36:47.455,Control_1
50.68,749.65,2026-01-12 00:36:47.555,Control_1
50.78,749.65,2026-01-12 00:36:47.655,Control_1
50.88,737.44,2026-01-12 00:36:47.755,Control_1
50.979,749.65,2026-01-12 00:36:47.854,Control_1
51.078,749.65,2026-01-12 00:36:47.953,Control_1
