Time (s),Illuminance (lux),Timestamp,Condition
32.809,181.25,2026-01-12 00:36:41.975,Transition
32.908,207.34,2026-01-12 00:36:42.074,Transition
33.01,203.17,2026-01-12 00:36:42.176,Transition
33.109,192.0,2026-01-12 00:36:42.275,Transition
33.209,183.69,2026-01-12 00:36:42.375,Transition
33.309,203.79,2026-01-12 00:36:42.475,Transition
33.409,199.57,2026-01-12 00:36:42.575,Transition
33.509,269.95,2026-01-12 00:36:42.675,Transition
33.609,208.35,2026-01-12 00:36:42.775,Transition
33.71,225.61,2026-01-12 00:36:42.876,Transition
33.809,191.91,2026-01-12 00:36:42.975,Transition
33.908,176.87,2026-01-12 00:36:43.074,Transition
34.009,200.56,2026-01-12 00:36:43.175,Transition
34.109,199.57,2026-01-12 00:36:43.275,Transition
34.209,210.0,2026-01-12 00:36:43.375,Transition
34.31,165.82,2026-01-12 00:36:43.476,Transition
34.409,184.53,2026-01-12 00:36:43.575,Transition
34.508,209.37,2026-01-12 00:36:43.674,Transition
34.609,192.96,2026-01-12 00:36:43.775,Transition
34.709,194.53,2026-01-12 00:36:43.875,Transition
34.809,182.17,2026-01-12 00:36:43.975,Transition
34.909,170.35,2026-01-12 00:36:44.075,Transition
35.009,183.69,2026-01-12 00:36:44.175,Transition
35.109,147.53,2026-01-12 00:36:44.275,Transition
35.209,178.83,2026-01-12 00:36:44.375,Transition
35.307,162.68,2026-01-12 00:36:44.473,Transition
35.409,161.29,2026-01-12 00:36:44.575,Transition
35.509,155.56,2026-01-12 00:36:44.675,Transition
35.609,231.95,2026-01-12 00:36:44.775,Transition
35.709,176.52,2026-01-12 00:36:44.875,Transition
35.809,167.24,2026-01-12 00:36:44.975,Transition
35.909,167.24,2026-01-12 00:36:45.075,Transition
36.009,188.54,2026-01-12 00:36:45.175,Transition
36.109,188.54,2026-01-12 00:36:45.275,Transition
36.209,207.34,2026-01-12 00:36:45.375,Transition
36.309,165.82,2026-01-12 00:36:45.475,Transition
36.409,193.56,2026-01-12 00:36:45.575,Transition
36.509,183.69,2026-01-12 00:36:45.675,Transition
36.609,192.0,2026-01-12 00:36:45.775,Transition
36.709,186.05,2026-01-12 00:36:45.875,Transition
36.808,187.0,2026-01-12 00:36:45.974,Transition
36.914,146.23,2026-01-12 00:36:46.080,Transition
37.013,196.99,2026-01-12 00:36:46.179,Transition
37.113,192.0,2026-01-12 00:36:46.279,Transition
37.214,186.15,2026-01-12 00:36:46.380,Transition
37.308,199.57,2026-01-12 00:36:46.474,Transition
37.409,175.96,2026-01-12 00:36:46.575,Transition
37.508,159.9,2026-01-12 00:36:46.674,Transition
37.609,218.04,2026-01-12 00:36:46.775,Transition
